agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,76.667,170,5.85,0.71122,0.0444,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,5.85,0.698405,0.0436,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,5.85,0.687192,0.0429,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,5.85,0.675979,0.0422,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,5.85,0.664766,0.0415,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,5.85,0.653553,0.0408,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,6.0,1.090857,0.0681,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,6.0,1.063626,0.0664,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,6.0,1.037996,0.0648,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,6.0,1.012367,0.0632,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,6.0,0.988339,0.0617,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,6.0,0.965913,0.0603,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,6.0,0.943487,0.0589,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,6.0,0.922663,0.0576,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,6.0,0.903441,0.0564,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,6.0,0.884219,0.0552,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,6.0,0.866599,0.0541,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,6.0,0.848979,0.053,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,6.0,0.831358,0.0519,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,6.0,0.81534,0.0509,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,6.0,0.799321,0.0499,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,6.0,0.784905,0.049,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,6.0,0.770488,0.0481,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,6.0,0.756071,0.0472,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,6.0,0.743257,0.0464,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,6.0,0.730442,0.0456,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,6.0,0.717627,0.0448,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,6.0,0.704812,0.044,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,6.0,0.693599,0.0433,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,6.0,0.682387,0.0426,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,6.0,0.671174,0.0419,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,6.5,1.18857,0.0742,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,6.5,1.158135,0.0723,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,6.5,1.129302,0.0705,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,6.5,1.10207,0.0688,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,6.5,1.076441,0.0672,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,6.5,1.052413,0.0657,calculo_supresion.xlsx tabla_temperatura
